chroma_cens_mean,chroma_cens_std,chroma_cens_var,mel_mean,mel_std,mel_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,rolloff_mean,rolloff_std,rolloff_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,mfccs_mean_0,mfccs_std_0,mfccs_mean_1,mfccs_std_1,mfccs_mean_2,mfccs_std_2,mfccs_mean_3,mfccs_std_3,mfccs_mean_4,mfccs_std_4,mfccs_mean_5,mfccs_std_5,mfccs_mean_6,mfccs_std_6,mfccs_mean_7,mfccs_std_7,mfccs_mean_8,mfccs_std_8,mfccs_mean_9,mfccs_std_9,mfccs_mean_10,mfccs_std_10,mfccs_mean_11,mfccs_std_11,mfccs_mean_12,mfccs_std_12,chroma_mean_0,chroma_std_0,chroma_mean_1,chroma_std_1,chroma_mean_2,chroma_std_2,chroma_mean_3,chroma_std_3,chroma_mean_4,chroma_std_4,chroma_mean_5,chroma_std_5,chroma_mean_6,chroma_std_6,chroma_mean_7,chroma_std_7,chroma_mean_8,chroma_std_8,chroma_mean_9,chroma_std_9,chroma_mean_10,chroma_std_10,chroma_mean_11,chroma_std_11,label,label_binary
0.2730925,0.09356179,0.008753808,9.974567,109.45845,11981.152,2.0256753,102.1968,10444.187,0.19018182,4.0264735,16.212488,303.83034276862395,149.36407893309266,22309.62807553113,719.7916285032134,228.6427098595086,52277.48877189944,459.69742063492066,398.6871551658515,158951.44769423976,0.01578000992063492,0.015441623894870766,0.0002384437485106438,0.0017952434,0.18458296,0.03407087,-0.00046980428,0.07183629,0.0051604533,-303.01114,57.92111,176.37488,48.539246,67.05112,13.833646,28.452059,16.545298,9.751952,16.122787,3.5930529,14.164307,-0.8121722,11.688285,-1.9213809,9.246131,3.9215763,6.3013277,12.348678,4.76967,12.575357,4.876578,8.963576,5.1339903,9.046218,5.1678047,0.8293216,0.20136674,0.7864088,0.20778972,0.60790455,0.22247545,0.50586903,0.24032992,0.47104597,0.24759428,0.46920502,0.2733235,0.4913559,0.2905816,0.50494707,0.28777483,0.53356004,0.2834787,0.5782748,0.2763519,0.630997,0.25036195,0.7150484,0.23402989,COPD,1
0.26955575,0.1033104,0.010673038,7.685116,93.57526,8756.329,0.6112447,103.78275,10770.86,-0.19501178,3.9856968,15.885779,347.6594463922708,229.49400847827556,52667.49992742682,781.7784909551053,345.949962784643,119681.37675069587,579.7371031746031,624.4404097209767,389925.8252925013,0.013772631448412698,0.010225136917061095,0.00010455342497264568,0.0015088663,0.16015476,0.025649548,-0.00023624975,0.06352956,0.0040360047,-313.23376,58.611404,169.7223,49.889835,67.34552,17.246166,26.84402,15.565919,10.423144,15.285144,3.3415062,13.5909,-0.96581626,11.470453,-2.0453386,9.407646,3.7265005,6.3966184,11.875973,5.1697946,12.297809,5.070684,8.992191,4.9888678,9.622085,4.875677,0.7520332,0.22953647,0.8046615,0.20226987,0.67479485,0.21100442,0.5060205,0.21588677,0.47236976,0.23612869,0.4606781,0.2703474,0.49171934,0.28959784,0.5111256,0.2922647,0.52176136,0.2722186,0.57099456,0.26471683,0.6212862,0.2582251,0.66148335,0.23669018,COPD,1
0.27264452,0.09485938,0.008998302,2.530426,40.141373,1611.3298,-2.402429,113.84362,12960.369,-0.027894618,2.005036,4.02017,432.9043273826074,213.08094477026685,45403.48902418952,1066.4002395691737,314.451440665366,98879.70853652421,604.6626984126984,668.1495373480351,446423.8042583933,0.015562996031746032,0.018087862814810462,0.0003271707812074031,-0.0001808419,0.05484805,0.0030083086,0.00012656068,0.06266765,0.003927235,-378.7294,40.06544,128.6834,23.970552,38.73137,14.88811,35.191814,7.3610067,33.758865,7.3348083,28.598629,7.907074,19.796179,5.2060204,12.789175,6.483172,13.639034,5.6082883,13.4126215,4.8777986,10.137418,4.691434,7.8528495,4.3833766,4.906441,4.566965,0.7050634,0.23566972,0.70262015,0.24890624,0.62167686,0.27806845,0.55746704,0.32177514,0.54417235,0.32755673,0.52128094,0.3184338,0.49870655,0.31146666,0.49152055,0.3072064,0.513486,0.31253308,0.56413746,0.33203086,0.5985232,0.29359916,0.6569499,0.27503502,COPD,1
0.26221806,0.12072707,0.014575026,2.7258604,54.922016,3016.428,-5.475753,111.03704,12329.224,-0.28274056,2.6736352,7.148326,400.6583389612945,251.0989184543461,63050.66684894235,979.1268736823364,439.62955267785736,193274.14358773295,555.4935515873016,690.2423136133548,476434.45150231675,0.010862320188492064,0.006432842838621255,4.138146698640077e-05,-0.00023476602,0.06174163,0.003812029,-0.0002980849,0.056956265,0.003244016,-370.52094,67.246414,106.613625,44.300114,35.50523,18.711346,29.427929,12.375066,29.526499,12.897695,23.933834,11.309571,17.487268,7.7248545,11.96594,7.2778225,12.518391,6.966148,11.636854,6.1169333,8.894723,5.4157057,7.068386,4.922327,4.7575345,4.3678594,0.63828576,0.31347606,0.60899824,0.33274886,0.51608336,0.33285132,0.48283386,0.36608645,0.45260996,0.35237464,0.42137206,0.3249227,0.4201547,0.33193868,0.41888294,0.3327369,0.44338578,0.3429243,0.49804795,0.36783323,0.5314779,0.32889885,0.5994586,0.32328337,COPD,1
0.26745376,0.10863614,0.011801811,5.5526447,30.203629,912.25916,8.260541,38.458466,1479.0535,0.26291573,4.939838,24.401999,1765.0942633862574,320.54712945983255,102750.46220493865,1979.143797932513,280.25617215637186,78543.52203174194,3849.0203373015875,904.8639153400686,818778.7052845588,0.09452892485119048,0.04478215631257509,0.002005441524003909,0.00014619702,0.09224495,0.008509131,0.0004556092,0.08101072,0.006562737,-61.414948,85.5358,81.13064,14.915381,-0.21744435,17.233534,19.88603,5.5491166,6.9282017,9.099104,4.2783175,9.424809,21.47813,4.8006916,4.728726,4.5024667,3.8793993,4.5474076,22.926128,8.716622,0.6912438,4.766158,3.5856347,6.0226207,-0.49302414,4.885566,0.4764254,0.21857943,0.55170006,0.19524363,0.78330857,0.20241995,0.79601496,0.18266314,0.78511256,0.1862616,0.64693516,0.1842193,0.60440546,0.2337168,0.67347217,0.20694654,0.69973785,0.18257311,0.6477149,0.22238646,0.5343204,0.22433417,0.4638306,0.2179352,COPD,1
0.26605225,0.1120247,0.012549534,5.332438,31.024956,962.5479,2.7247975,63.371376,4015.9314,-0.36083972,5.4335527,29.523495,1594.039935944302,619.8578188434865,384223.7155814045,1793.375009729809,641.5620456987676,411601.85848118766,3477.8025793650795,1453.6054222346222,2112968.7235498945,0.08702256944444445,0.051138265003305955,0.0026151221475483465,-4.8589445e-06,0.086059004,0.0074061523,0.0024289729,0.083412774,0.0069576907,-117.89743,174.05315,72.8427,27.865854,0.7611916,16.272964,18.714348,8.069043,6.3503304,8.800021,3.6044946,9.377819,19.364231,8.0530205,4.178548,4.7830873,3.2943754,4.888763,19.868578,10.853049,0.81032336,4.3876204,3.5586636,6.279521,-0.028003238,5.279393,0.42885038,0.23689856,0.48747268,0.24096787,0.68216646,0.30395415,0.7199552,0.29486436,0.6728753,0.28198636,0.5798748,0.26396486,0.5535891,0.28392425,0.59667975,0.28716356,0.6352842,0.27148065,0.64574856,0.3004422,0.51957357,0.28104877,0.4324064,0.23886794,COPD,1
0.26227775,0.12059733,0.014543716,2.500722,21.679977,470.02145,4.3227367,55.195328,3046.5244,0.27743983,3.7258348,13.8818445,1377.058082826393,255.64028626672732,65351.95596253429,1827.1123067654394,185.58239565848675,34440.825578343116,3355.964781746032,457.012962206765,208860.847625002,0.046196831597222224,0.02254770790229182,0.0005083991316470731,0.00015680518,0.07567178,0.0057262173,0.00032568385,0.03762858,0.00141591,-160.5309,60.73117,83.79238,13.617945,11.791874,8.707472,41.051212,7.3225718,0.4490796,5.592471,17.767675,4.7122445,15.458383,3.9524615,9.723233,4.042354,6.081967,3.6511164,16.627605,5.1404366,0.26277024,3.4888618,8.776772,4.0419426,4.9435353,3.2976987,0.5184705,0.20067742,0.5233009,0.17392536,0.71868336,0.18668851,0.8146737,0.21190394,0.6347667,0.16279961,0.6132029,0.17164516,0.6825459,0.19763103,0.74091655,0.20639478,0.74247736,0.19178368,0.78341126,0.20650318,0.7141692,0.18991464,0.57440203,0.19127811,COPD,1
0.2618252,0.12157676,0.014780909,8.085812,77.64355,6028.5205,9.175726,40.366425,1629.4482,0.056371965,1.76603,3.118862,1349.2151301300921,236.82783724612767,56087.42449467834,1821.7294484507804,78.78780218247019,6207.517772744053,3320.3125,340.80487778161574,116147.96471974206,0.04989769345238095,0.023991626352044836,0.0005755981350161323,-0.00073426706,0.14356749,0.020611621,-0.0012528219,0.062988766,0.003967585,-101.72068,36.207275,85.48292,7.5575204,12.42609,8.982666,41.91154,4.9878583,0.43747064,5.2323275,18.210186,4.117482,15.650231,3.5967052,10.088757,3.6442387,5.86214,3.7887506,16.824087,4.3397293,0.33629137,3.4103942,8.444376,3.57906,5.3310213,3.786922,0.45759395,0.20604794,0.47225627,0.18472284,0.71299577,0.17313778,0.8517042,0.19894269,0.56866056,0.14086708,0.5293512,0.16222517,0.6198676,0.20677698,0.68900585,0.22373492,0.7008239,0.22371079,0.73364574,0.22211123,0.6719758,0.20114669,0.5152469,0.1971066,COPD,1
0.27519387,0.08718755,0.0076016686,3.9751687,19.811516,392.4962,8.173622,32.780758,1074.578,0.30792227,4.659919,21.714844,2463.51214064632,452.8522922479096,205075.19859418613,2278.009390462476,222.77993298925776,49630.89854269818,5341.703869047619,684.8379610792463,469003.0329351792,0.13582356770833334,0.04087896785028875,0.0016710900125049412,0.00093186647,0.08148705,0.00664014,-0.00017756272,0.07006598,0.0049092416,-52.031773,78.63458,51.23117,13.5310755,34.35639,7.516449,28.523735,5.9867964,-9.329277,6.1481643,16.21769,5.639156,8.652773,5.10215,9.514804,3.6914322,4.3385234,3.6846983,14.446803,4.4424925,-6.036239,3.7218342,8.470702,5.4498534,-2.0982063,3.4041467,0.5318859,0.19016999,0.5220261,0.17922467,0.6351928,0.18753327,0.72524005,0.21942966,0.6429709,0.18275827,0.6436925,0.16815016,0.68793523,0.15684001,0.8501213,0.17058668,0.7922994,0.18700631,0.7665517,0.21136881,0.643659,0.17781675,0.5601142,0.18714927,COPD,1
0.2779485,0.077961296,0.006077964,10.045752,48.728214,2374.4387,12.038645,24.040468,577.94415,0.0756317,3.0704253,9.427511,2501.6586550367388,369.37527187125085,136438.0914699605,2298.7309964402452,81.16895226803899,6588.3988122911915,5402.033730158731,428.9740320280927,184018.72015443913,0.1698482452876984,0.062470385709465504,0.003902549090689392,0.0024593347,0.13784525,0.019001313,0.0050784014,0.11114523,0.012353262,-1.5996486,58.931435,50.459213,11.045323,34.981956,7.2899103,28.362001,5.897528,-9.979061,6.3819203,17.493048,5.480491,8.457036,5.3538966,10.056806,4.9012036,4.817656,4.167299,14.387841,4.7142587,-6.545197,4.1097565,7.66232,5.623745,-2.0515845,3.449055,0.5160576,0.17008027,0.53301626,0.15859011,0.6771013,0.20244217,0.69613206,0.21278568,0.5993854,0.20096716,0.5971128,0.17648607,0.65872705,0.17473637,0.79396653,0.19289105,0.7603311,0.19400589,0.7407076,0.20263004,0.61684954,0.18086332,0.55606073,0.19694652,COPD,1
